Name of Moon,Name of Planet,Diameter (km)
S/2009 S 1,Saturn,0.15
Aegaeon,Saturn,0.33
S/2011 J 1,Jupiter,0.5
S/2010 J 2,Jupiter,0.5
S/2003 J 12,Jupiter,0.5
S/2011 J 2,Jupiter,0.5
S/2003 J 9,Jupiter,0.5
Valetudo,Jupiter,0.5
S/2017 J 8,Jupiter,0.5
Kore,Jupiter,1.0
Philophrosyne,Jupiter,1.0
S/2003 J 18,Jupiter,1.0
Euporie,Jupiter,1.0
Orthosie,Jupiter,1.0
Sponde,Jupiter,1.0
S/2017 J 3,Jupiter,1.0
Pasithee,Jupiter,1.0
Mneme,Jupiter,1.0
Thelxinoe,Jupiter,1.0
Kallichore,Jupiter,1.0
S/2010 J 1,Jupiter,1.0
Cyllene,Jupiter,1.0
Kale,Jupiter,1.0
Eupheme,Jupiter,1.0
Herse,Jupiter,1.0
S/2017 J 7,Jupiter,1.0
S/2003 J 4,Jupiter,1.0
S/2003 J 2,Jupiter,1.0
Ersa,Jupiter,1.0
S/2017 J 9,Jupiter,1.0
S/2003 J 19,Jupiter,1.0
S/2017 J 6,Jupiter,1.0
S/2003 J 10,Jupiter,1.0
S/2017 J 5,Jupiter,1.0
Pandia,Jupiter,1.0
S/2003 J 23,Jupiter,1.0
Anthe,Saturn,1.0
S/2017 J 2,Jupiter,1.0
S/2003 J 16,Jupiter,1.0
Polydeuces,Saturn,1.25
Eurydome,Jupiter,1.5
Euanthe,Jupiter,1.5
Hegemone,Jupiter,1.5
Carpo,Jupiter,1.5
Arche,Jupiter,1.5
Aitne,Jupiter,1.5
Methone,Saturn,1.6
Erinome,Jupiter,1.6
Chaldene,Jupiter,1.9
Isonoe,Jupiter,1.9
Eirene,Jupiter,2.0
Dia,Jupiter,2.0
S/2017 J 1,Jupiter,2.0
Eukelade,Jupiter,2.0
Helike,Jupiter,2.0
Fenrir,Saturn,2.0
Pallene,Saturn,2.0
Autonoe,Jupiter,2.0
S/2004 S 17,Saturn,2.0
Hermippe,Jupiter,2.0
Aoede,Jupiter,2.0
Thyone,Jupiter,2.0
Harpalyke,Jupiter,2.2
Taygete,Jupiter,2.5
Farbauti,Saturn,2.5
S/2004 S 12,Saturn,2.5
Iocaste,Jupiter,2.6
Kalyke,Jupiter,2.6
Megaclite,Jupiter,2.7
Surtur,Saturn,3.0
S/2004 S 7,Saturn,3.0
S/2004 S 24,Saturn,3.0
Jarnsaxa,Saturn,3.0
S/2004 S 21,Saturn,3.0
S/2004 S 20,Saturn,3.0
S/2007 S 3,Saturn,3.0
S/2004 S 13,Saturn,3.0
S/2007 S 2,Saturn,3.0
S/2006 S 3,Saturn,3.0
S/2004 S 22,Saturn,3.0
S/2004 S 30,Saturn,3.0
S/2004 S 39,Saturn,3.0
Loge,Saturn,3.0
Greip,Saturn,3.0
Hati,Saturn,3.0
Fornjot,Saturn,3.0
S/2016 J 1,Jupiter,3.0
S/2006 S 1,Saturn,3.0
S/2004 S 36,Saturn,3.0
Skoll,Saturn,3.0
S/2004 S 34,Saturn,3.0
Bergelmir,Saturn,3.0
Bebhionn,Saturn,3.0
